CELL_TYPE_ID,CELL_TYPE_NAME
276,Regulatory T (Treg) cell
277,CD8+ cytotoxic T lymphocyte
278,Gamma delta T cell
279,Natural killer T (NKT) cell
280,Naive T cell (Th0 cell)
281,Naïve CD4+ T cell
282,Naïve CD8+ T cell
283,Activated CD4+ T cell
284,Activated CD8+ T cell
285,Side-population cell
286,Activated B cell
287,Naive B cell
288,CD16+ monocyte
289,Centroblast
290,Basal epithelial cell
291,Epsilon cell (ghrelin cell)
292,Dental papilla cell
293,Dental follicle cell
294,Dental placode cell
295,Enamel epithelial cell
296,Enamel knot cell
297,Mesothelial cell
298,Submesothelial cell
299,Definitive erythrocyte
300,Primitive erythrocyte
301,Lung epithelial cell
302,Non-neuroendocrine cell
303,Neuroendocrine cell
304,Corneocyte
305,Intermediate keratinocyte
306,Outer root sheath cell (epithelial cell)
307,Periderm cell
308,Osteoblast
309,Osteocyte
310,Conventional dendritic cell I
311,Conventional dendritic cell II
312,DN1 thymocyte
313,DN2 thymocyte
314,DN3 thymocyte
315,DN4 thymocyte
316,DP thymocyte
317,Primitive megakaryocyte
318,Myeloid cell
319,Small luteal cell
320,Glenoid fossa cell
321,Spermatozoon (motile sperm cell)
322,Myoid cell
323,Mullerian duct cell
324,Perivascular cell
325,Testis somatic cell
326,Suture cell
327,Disc cell
328,Polymorphic cell
329,Central intermediate lamina cell
330,Nucleus pulposus cell
331,Annulus fibrosus cell
332,Valve cell
333,Endocardial tube cell
334,Epicardial cell
335,Subepicardial cell
336,Purkinje myocyte
337,Septum cell
338,His bundle cell
339,Bundle branch cell
340,Sinoatrial node cell
341,atrioventricular node cell
342,Ptrioventricular canal cell
343,Skeletal muscle satellite cell
344,Mononuclear myocyte
345,Multinuclear myocyte
346,Dopaminergic neuron
347,Meningeal cell
348,Choroid plexus cell
349,Motor neuron
350,Muscle motor neuron
351,Association neuron
352,Protoplasmic astrocyte
353,VA1 astrocyte
354,VA2 astrocyte
355,VA3 astrocyte
356,Pre-myelinating oligodendrocyte cell
357,Myelinating oligodendrocyte cell
358,Superbasal epithelial cell
359,Superficial epithelial cell
360,nGnG amacrine cell
361,SEG amacrine cell
362,AII amacrine cell
363,Glycinergic amacrine cell
364,Dopaminergic amacrine cell
365,Cholinergic amacrine cell
366,GABAergic amacrine cell
367,Keratocyte
368,Type9 on cone bipolar cell
369,Type8 on cone bipolar cell
370,Type7 on cone bipolar cell
371,Type6 on cone bipolar cell
372,Type5 on cone bipolar cell
373,Type4 off cone bipolar cell
374,Type3b off cone bipolar cell
375,Type3a off cone bipolar cell
376,Type2 off cone bipolar cell
377,Type1 off cone bipolar cell
378,S cone cell
379,M-S cone cell
380,M cone cell
381,L cone cell
382,Rod bipolar cell
383,Lens fiber cell
384,Transitional lens fiber cell
385,Young lens fiber cell
386,Secondary lens fiber cell
387,Conjunctival epithelial cell
388,Ciliary marginal zone cell
389,Early immature amacrine cell
390,Late immature amacrine cell
391,Displaced amacrine cell
392,Mural granulosa Cell
393,Bistratified cell
394,GABAergic interneuron
395,Cranial visceral motor neuron
396,Visceral motor neuron
397,Somatic motor neuron
398,Non-myelinating Schwann cell
399,Cup cell
400,X/A-like endocrine cell
401,P/D1 cell
402,Alveolar cell
403,Hypertrophic chondrocyte
404,Prehypertrophic chondrocyte
405,Fibrocyte
